# Logfile created on 2019-06-27 16:29:03 -0300 by logger.rb/66358
D, [2019-06-27T16:29:06.495712 #10285] DEBUG -- : Início do teste do cenário efetuar_cadastro_com_sucesso...
I, [2019-06-27T16:29:06.498165 #10285]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T16:29:07.242020 #10285]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T16:29:07.962795 #10285]  INFO -- : Aguardou a existência do elemento buttonSignUp
I, [2019-06-27T16:29:08.327790 #10285]  INFO -- : Clicou no botão buttonSignUp
I, [2019-06-27T16:29:14.733008 #10285]  INFO -- : Preencheu o campo fullNameEditText com o valor Gabriela
I, [2019-06-27T16:29:21.187079 #10285]  INFO -- : Preencheu o campo sign_up_edit_cpf com o valor 06416818361
I, [2019-06-27T16:29:27.674697 #10285]  INFO -- : Preencheu o campo sign_up_edit_birthday com o valor 10081973
I, [2019-06-27T16:29:34.122884 #10285]  INFO -- : Preencheu o campo emailEditText com o valor lindsey@hotmail.com
I, [2019-06-27T16:29:40.386618 #10285]  INFO -- : Preencheu o campo passwordEditText com o valor Senha123!
I, [2019-06-27T16:29:40.985556 #10285]  INFO -- : Verificando se existe o elemento sendButton
I, [2019-06-27T16:29:41.652562 #10285]  INFO -- : Aguardou a existência do elemento sendButton
I, [2019-06-27T16:29:41.838764 #10285]  INFO -- : Clicou no botão sendButton
I, [2019-06-27T16:29:41.840775 #10285]  INFO -- : Verificando se existe o elemento signUpEmail
I, [2019-06-27T16:29:43.090443 #10285]  INFO -- : Cadastrei usuário com sucesso - Email: lindsey@hotmail.com - Senha: Senha123!
I, [2019-06-27T16:29:43.756582 #10285]  INFO -- : Está buscando o texto do elemento signUpEmail
I, [2019-06-27T16:29:43.851460 #10285]  INFO -- : Está buscando o texto do elemento title
I, [2019-06-27T16:29:46.661716 #10285]  INFO -- : Fim do Teste!
