# Logfile created on 2019-06-27 11:13:03 -0300 by logger.rb/66358
D, [2019-06-27T11:13:07.225369 #4126] DEBUG -- : Início do teste do cenário efetuar_cadastro_com_sucesso...
I, [2019-06-27T11:13:07.227206 #4126]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:13:07.938915 #4126]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:13:08.207980 #4126]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:13:08.473373 #4126]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:13:08.733682 #4126]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:13:09.006540 #4126]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:13:09.279268 #4126]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:13:10.161883 #4126]  INFO -- : Aguardou a existência do elemento buttonSignUp
I, [2019-06-27T11:13:10.515384 #4126]  INFO -- : Clicou no botão buttonSignUp
I, [2019-06-27T11:13:17.281788 #4126]  INFO -- : Preencheu o campo fullNameEditText com o valor Betina
I, [2019-06-27T11:13:23.616071 #4126]  INFO -- : Preencheu o campo sign_up_edit_cpf com o valor 62915286493
I, [2019-06-27T11:13:30.014936 #4126]  INFO -- : Preencheu o campo sign_up_edit_birthday com o valor 25112000
I, [2019-06-27T11:13:36.500405 #4126]  INFO -- : Preencheu o campo emailEditText com o valor jacquelyne@gmail.com
I, [2019-06-27T11:13:42.786205 #4126]  INFO -- : Preencheu o campo passwordEditText com o valor Senha123!
I, [2019-06-27T11:13:43.386606 #4126]  INFO -- : Verificando se existe o elemento sendButton
I, [2019-06-27T11:13:44.081550 #4126]  INFO -- : Aguardou a existência do elemento sendButton
I, [2019-06-27T11:13:44.250048 #4126]  INFO -- : Clicou no botão sendButton
I, [2019-06-27T11:13:44.251942 #4126]  INFO -- : Verificando se existe o elemento 
I, [2019-06-27T11:13:45.330133 #4126]  INFO -- : Fim do Teste!
