# Logfile created on 2019-06-27 16:30:36 -0300 by logger.rb/66358
D, [2019-06-27T16:30:39.169746 #10377] DEBUG -- : Início do teste do cenário efetuar_cadastro_com_sucesso...
I, [2019-06-27T16:30:39.171472 #10377]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T16:30:40.443038 #10377]  INFO -- : Aguardou a existência do elemento buttonSignUp
I, [2019-06-27T16:30:40.803302 #10377]  INFO -- : Clicou no botão buttonSignUp
I, [2019-06-27T16:30:47.232450 #10377]  INFO -- : Preencheu o campo fullNameEditText com o valor Aduzinda
I, [2019-06-27T16:30:53.609419 #10377]  INFO -- : Preencheu o campo sign_up_edit_cpf com o valor 47169855127
I, [2019-06-27T16:31:00.461779 #10377]  INFO -- : Preencheu o campo sign_up_edit_birthday com o valor 25011980
I, [2019-06-27T16:31:07.013249 #10377]  INFO -- : Preencheu o campo emailEditText com o valor buck.bednar@hotmail.com
I, [2019-06-27T16:31:13.378752 #10377]  INFO -- : Preencheu o campo passwordEditText com o valor Senha123!
I, [2019-06-27T16:31:13.958008 #10377]  INFO -- : Verificando se existe o elemento sendButton
I, [2019-06-27T16:31:14.666422 #10377]  INFO -- : Aguardou a existência do elemento sendButton
I, [2019-06-27T16:31:14.859672 #10377]  INFO -- : Clicou no botão sendButton
I, [2019-06-27T16:31:14.860429 #10377]  INFO -- : Verificando se existe o elemento signUpEmail
I, [2019-06-27T16:31:16.871127 #10377]  INFO -- : Cadastrei usuário com sucesso - Email: buck.bednar@hotmail.com - Senha: Senha123!
I, [2019-06-27T16:31:16.913041 #10377]  INFO -- : Está buscando o texto do elemento signUpEmail
I, [2019-06-27T16:31:16.991386 #10377]  INFO -- : Está buscando o texto do elemento title
I, [2019-06-27T16:31:19.388760 #10377]  INFO -- : Fim do Teste!
