# Logfile created on 2019-06-27 11:33:07 -0300 by logger.rb/66358
D, [2019-06-27T11:33:11.541632 #4480] DEBUG -- : Início do teste do cenário efetuar_cadastro_com_sucesso...
I, [2019-06-27T11:33:11.543836 #4480]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:33:12.270008 #4480]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:33:13.064244 #4480]  INFO -- : Aguardou a existência do elemento buttonSignUp
I, [2019-06-27T11:33:13.414397 #4480]  INFO -- : Clicou no botão buttonSignUp
I, [2019-06-27T11:33:20.033170 #4480]  INFO -- : Preencheu o campo fullNameEditText com o valor Abelita
I, [2019-06-27T11:33:26.424354 #4480]  INFO -- : Preencheu o campo sign_up_edit_cpf com o valor 73501866305
I, [2019-06-27T11:33:32.868388 #4480]  INFO -- : Preencheu o campo sign_up_edit_birthday com o valor 03011938
I, [2019-06-27T11:33:39.510083 #4480]  INFO -- : Preencheu o campo emailEditText com o valor howard.quigley@yahoo.com
I, [2019-06-27T11:33:45.805955 #4480]  INFO -- : Preencheu o campo passwordEditText com o valor Senha123!
I, [2019-06-27T11:33:46.404474 #4480]  INFO -- : Verificando se existe o elemento sendButton
I, [2019-06-27T11:33:47.062502 #4480]  INFO -- : Aguardou a existência do elemento sendButton
I, [2019-06-27T11:33:47.239539 #4480]  INFO -- : Clicou no botão sendButton
I, [2019-06-27T11:33:47.240815 #4480]  INFO -- : Verificando se existe o elemento signUpEmail
I, [2019-06-27T11:33:49.247913 #4480]  INFO -- : Cadastrei usuário com sucesso - Email: howard.quigley@yahoo.com - Senha: Senha123!
I, [2019-06-27T11:33:49.279735 #4480]  INFO -- : Está buscando o texto do elemento signUpEmail
I, [2019-06-27T11:33:49.333381 #4480]  INFO -- : Está buscando o texto do elemento title
I, [2019-06-27T11:33:50.294016 #4480]  INFO -- : Fim do Teste!
