# Logfile created on 2019-06-27 11:11:06 -0300 by logger.rb/66358
D, [2019-06-27T11:11:09.683441 #4020] DEBUG -- : Início do teste do cenário efetuar_cadastro_com_sucesso...
I, [2019-06-27T11:11:09.685910 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:10.398518 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:10.660873 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:10.927709 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:11.189759 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:11.442177 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:11.705555 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:11.973475 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:12.238214 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:12.505104 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:12.762376 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:13.032656 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:13.292294 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:13.549235 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:13.811674 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:14.073883 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:14.449153 #4020]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:11:15.020792 #4020]  INFO -- : Aguardou a existência do elemento buttonSignUp
I, [2019-06-27T11:11:15.360470 #4020]  INFO -- : Clicou no botão buttonSignUp
I, [2019-06-27T11:11:21.732405 #4020]  INFO -- : Preencheu o campo fullNameEditText com o valor Ismael
I, [2019-06-27T11:11:28.017195 #4020]  INFO -- : Preencheu o campo sign_up_edit_cpf com o valor 07151116985
I, [2019-06-27T11:11:34.437455 #4020]  INFO -- : Preencheu o campo sign_up_edit_birthday com o valor 19071994
I, [2019-06-27T11:11:40.917367 #4020]  INFO -- : Preencheu o campo emailEditText com o valor tanja_wyman@gmail.com
I, [2019-06-27T11:11:47.289096 #4020]  INFO -- : Preencheu o campo passwordEditText com o valor Senha123!
I, [2019-06-27T11:11:47.886542 #4020]  INFO -- : Verificando se existe o elemento sendButton
I, [2019-06-27T11:11:48.559876 #4020]  INFO -- : Aguardou a existência do elemento sendButton
I, [2019-06-27T11:11:48.735151 #4020]  INFO -- : Clicou no botão sendButton
I, [2019-06-27T11:11:48.737139 #4020]  INFO -- : Verificando se existe o elemento 
I, [2019-06-27T11:11:49.836082 #4020]  INFO -- : Fim do Teste!
