# Logfile created on 2019-06-27 16:27:40 -0300 by logger.rb/66358
D, [2019-06-27T16:27:43.135021 #10173] DEBUG -- : Início do teste do cenário efetuar_cadastro_com_sucesso...
I, [2019-06-27T16:27:43.137031 #10173]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T16:27:44.353237 #10173]  INFO -- : Aguardou a existência do elemento buttonSignUp
I, [2019-06-27T16:27:44.709930 #10173]  INFO -- : Clicou no botão buttonSignUp
I, [2019-06-27T16:27:50.959140 #10173]  INFO -- : Preencheu o campo fullNameEditText com o valor Mélvin
I, [2019-06-27T16:27:56.816307 #10173]  INFO -- : Preencheu o campo sign_up_edit_cpf com o valor 99730034540
I, [2019-06-27T16:28:03.288639 #10173]  INFO -- : Preencheu o campo sign_up_edit_birthday com o valor 12011951
I, [2019-06-27T16:28:09.915708 #10173]  INFO -- : Preencheu o campo emailEditText com o valor santa_renner@gmail.com
I, [2019-06-27T16:28:16.267295 #10173]  INFO -- : Preencheu o campo passwordEditText com o valor Senha123!
I, [2019-06-27T16:28:16.851604 #10173]  INFO -- : Verificando se existe o elemento sendButton
I, [2019-06-27T16:28:17.561573 #10173]  INFO -- : Aguardou a existência do elemento sendButton
I, [2019-06-27T16:28:20.713543 #10173]  INFO -- : Clicou no botão sendButton
I, [2019-06-27T16:28:20.715872 #10173]  INFO -- : Verificando se existe o elemento signUpEmail
I, [2019-06-27T16:28:20.884271 #10173]  INFO -- : Cadastrei usuário com sucesso - Email: santa_renner@gmail.com - Senha: Senha123!
I, [2019-06-27T16:28:31.301611 #10173]  INFO -- : Fim do Teste!
