# Logfile created on 2019-06-27 11:08:03 -0300 by logger.rb/66358
D, [2019-06-27T11:08:06.532880 #3895] DEBUG -- : Início do teste do cenário efetuar_cadastro_com_sucesso...
I, [2019-06-27T11:08:06.534632 #3895]  INFO -- : Verificando se existe o elemento buttonSignUp
I, [2019-06-27T11:08:07.847291 #3895]  INFO -- : Aguardou a existência do elemento buttonSignUp
I, [2019-06-27T11:08:08.178796 #3895]  INFO -- : Clicou no botão buttonSignUp
I, [2019-06-27T11:08:14.933780 #3895]  INFO -- : Preencheu o campo fullNameEditText com o valor Wilson
I, [2019-06-27T11:08:21.252927 #3895]  INFO -- : Preencheu o campo sign_up_edit_cpf com o valor 10687133998
I, [2019-06-27T11:08:27.711334 #3895]  INFO -- : Preencheu o campo sign_up_edit_birthday com o valor 23091947
I, [2019-06-27T11:08:34.545652 #3895]  INFO -- : Preencheu o campo emailEditText com o valor rochelle@hotmail.com
I, [2019-06-27T11:08:40.933701 #3895]  INFO -- : Preencheu o campo passwordEditText com o valor Senha123!
I, [2019-06-27T11:08:41.534478 #3895]  INFO -- : Verificando se existe o elemento 
I, [2019-06-27T11:08:42.544113 #3895]  INFO -- : Fim do Teste!
